Statistics_Name,Auction_Name
Ishan Kishan,Ishan Kishan
Ramandeep Singh,Ramandeep Singh
Dhruv Jurel,Dhruv Jurel
Navdeep Saini,Navdeep Saini
KL Rahul,KL Rahul
Avesh Khan,Avesh Khan
Washington Sundar,Washington Sundar
Shakib Al Hasan,Shakib Al Hasan
Shivam Mavi,Shivam Mavi
Arshdeep Singh,Arshdeep Singh
Imran Tahir,Imran Tahir
Yuvraj Singh,Yuvraj Singh
T Natarajan,T Natarajan
Harbhajan Singh,Harbhajan Singh
Mohammed Siraj,Mohammed Siraj
Kuldeep Yadav,Kuldeep Yadav
Ravi Bishnoi,Ravi Bishnoi
Shubman Gill,Shubman Gill
Mustafizur Rahman,Mustafizur Rahman
Abhishek Sharma,Abhishek Sharma
B Laughlin,Ben Laughlin
CJ Jordan,Chris Jordan
JA Richardson,Jhye Richardson
KM Jadhav,Kedar Jadhav
JP Faulkner,James Faulkner
SR Watson,Shane Watson
Tilak Varma,N. Tilak Varma
BE Hendricks,Beuran Hendricks
SS Cottrell,Sheldon Cottrell
PJ Cummins,Pat Cummins
DP Nannes,Dirk Nannes
R Sai Kishore,R. Sai Kishore
M Vijay,Murali Vijay
JM Sharma,Jitesh Sharma
F Behardien,Farhaan Behardien
E Lewis,Evin Lewis
WD Parnell,Wayne Parnell
Z Khan,Zaheer Khan
JP Behrendorff,Jason Behrendorff
DJ Willey,David Willey
MA Wood,Mark Wood
D Brevis,Dewald Brevis
SO Hetmyer,Shimron Hetmyer
JD Unadkat,Jaydev Unadkat
SE Rutherford,Sherfane Rutherford
R McLaren,Ryan McLaren
R Sharma,Rohit Sharma
RA Tripathi,Rahul Tripathi
S Badree,Samuel Badree
SE Marsh,Shaun Marsh
JR Philippe,Joshua Philippe
JW Hastings,John Hastings
CR Brathwaite,Carlos Brathwaite
Mukesh Kumar,Mukesh Choudhary
V Shankar,Vijay Shankar
S Dube,Shivam Dube
O Thomas,Oshane Thomas
TG Southee,Tim Southee
GJ Bailey,George Bailey
I Sharma,Ishant Sharma
IK Pathan,Irfan Pathan
R Ashwin,R. Ashwin
N Pooran,Nicolas Pooran
FH Allen,Finn Allen
JP Duminy,Jean-Paul Duminy
DJ Mitchell,Daryl Mitchell
B Stanlake,Billy Stanlake
Mukesh Kumar,Ramesh Kumar
LH Ferguson,Lockie Ferguson
UT Yadav,Umesh Yadav
JO Holder,Jason Holder
JM Sharma,Jitesh Sharma
KH Pandya,Krunal Pandya
JR Hazlewood,Josh Hazlewood
A Khan,Aman Khan
HF Gurney,Harry Gurney
R Sharma,R Samarth
JM Bairstow,Jonny Bairstow
FH Edwards,Fidel Edwards
SR Tendulkar,Arjun Tendulkar
PP Chawla,Piyush Chawla
RP Meredith,Riley Meredith
M Kartik,Murali Kartik
AT Carey,Alex Carey
DT Christian,Daniel Christian
SA Abbott,Sean Abbott
PSP Handscomb,Peter Handscomb
RK Singh,Rinku Singh
AK Markram,Aiden Markram
CA Ingram,Colin Ingram
JC Archer,Jofra Archer
SM Boland,Scott Boland
TK Curran,Tom Curran
BW Hilfenhaus,Ben Hilfenhaus
Mahedi Hasan,Syed Mehdi Hasan
MP Stoinis,Marcus Stoinis
RD Chahar,Rahul Chahar
MM Patel,Munaf Patel
H Klaasen,Heinrich Klaasen
LS Livingstone,Liam Livingstone
DT Christian,Dan Christian
TA Boult,Trent Boult
MJ Henry,Matt Henry
DA Miller,David Miller
RD Gaikwad,Ruturaj Gaikwad
JL Smith,J Suchith
K Rabada,Kagiso Rabada
JA Turner,Ashton Turner
SW Billings,Sam Billings
Shahbaz Ahmed,Shahbaz Ahamad
BR Dunk,Ben Dunk
EJG Morgan,Eoin Morgan
MJ Guptill,Martin Guptill
MK Tiwary,Manoj Tiwary
KA Jamieson,Kyle Jamieson
K Santokie,Krismar Santokie
A Mishra,Amit Mishra
MC Henriques,Moises Henriques
TL Seifert,Tim Seifert
A Zampa,Adam Zampa
A Nehra,Ashish Nehra
Mohammed Shami,Mohammad Shami
A Nortje,Anrich Nortje
LA Pomersbach,Luke Pomersbach
SR Patel,Ripal Patel
KD Karthik,Dinesh Karthik
M Jansen,Marco Jansen
DJ Mitchell,Mitchell Johnson
Parvez Rasool,Parveez Rasool
AY Patel,Ansh Patel
GB Hogg,Brad Hogg
AD Russell,Andre Russell
DW Steyn,Dale Steyn
JC Buttler,Jos Buttler
KS Williamson,Kane Williamson
R Vinay Kumar,Ranganath Vinay Kumar
S Dhawan,Shikhar Dhawan
KR Mayers,Kyle Mayers
MK Pandey,Manish Pandey
NJ Maddinson,Nic Maddinson
KW Richardson,Kane Richardson
AD Hales,Alex Hales
DA Warner,David Warner
JL Denly,Joe Denly
JDS Neesham,James Neesham
D Pretorius,Dwaine Pretorius
T Banton,Tom Banton
DP Conway,Devon Conway
R Shepherd,Romario Shepherd
RS Bopara,Ravi Bopara
C Green,Chris Green
BB McCullum,Brendon McCullum
YK Pathan,Yusuf Pathan
CR Woakes,Chris Woakes
RT Ponting,Ricky Ponting
DJ Malan,Dawid Malan
D Wiese,David Wiese
BJ Dwarshuis,Ben Dwarshuis
SM Curran,Sam Curran
CJ Anderson,Corey Anderson
RD Chahar,Deepak Chahar
C Munro,Colin Munro
AJ Finch,Aaron Finch
NM Coulter-Nile,Nathan Coulter-Nile
LRPL Taylor,Ross Taylor
R Powell,Rovman Powell
AB Dinda,Ashok Dinda
KA Pollard,Kieron Pollard
AT Rayudu,Ambati Rayudu
BJ Hodge,Brad Hodge
R Parag,Riyan Parag
RV Uthappa,Robin Uthappa
AF Milne,Adam Milne
KV Sharma,Karn Sharma
GJ Maxwell,Glenn Maxwell
HH Pandya,Hardik Pandya
TS Mills,Tymal Mills
KP Pietersen,Kevin Pietersen
NL McCullum,Nathan McCullum
GD Phillips,Glenn Phillips
J Theron,Juan Theron
JA Morkel,Albie Morkel
TH David,Tim David
M Prasidh Krishna,Prasidh Krishna
BCJ Cutting,Ben Cutting
CA Lynn,Chris Lynn
JD Ryder,Jesse Ryder
KJ Abbott,Kyle Abbott
KV Sharma,Karan Sharma
R Ashwin,M. Ashwin
C de Grandhomme,Colin De Grandhomme
J Botha,Johan Botha
DJ Mitchell,Mitchell Marsh
OF Smith,Odean Smith
